"A"	"B"	"type"
"MED1"	"MED9"	"Negative Genetic"
"MED1"	"NDUFA8"	"Negative Genetic"
"MED1"	"NUBP1"	"Negative Genetic"
"MED1"	"PSMD4"	"Negative Genetic"
"MED1"	"PSMD6"	"Positive Genetic"
"MED1"	"TAF2"	"Negative Genetic"
"MED1"	"ZNF574"	"Negative Genetic"
"MED10"	"MED10"	"Negative Genetic"
"MED10"	"POLD3"	"Negative Genetic"
"MED10"	"PPP2R2A"	"Positive Genetic"
"MED10"	"PSMD12"	"Positive Genetic"
"MED10"	"TOMM22"	"Negative Genetic"
"MED10"	"ZNF511"	"Positive Genetic"
"MED10"	"ZNHIT6"	"Negative Genetic"
"MED14"	"MED14"	"Negative Genetic"
"MED14"	"MED24"	"Negative Genetic"
"MED14"	"MED9"	"Negative Genetic"
"MED14"	"MINOS1"	"Negative Genetic"
"MED14"	"MINOS1-NBL1"	"Negative Genetic"
"MED14"	"MRPS11"	"Negative Genetic"
"MED14"	"PGK1"	"Negative Genetic"
"MED14"	"PPCS"	"Positive Genetic"
"MED14"	"PSMD1"	"Negative Genetic"
"MED14"	"RBBP8"	"Negative Genetic"
"MED14"	"RPP38"	"Positive Genetic"
"MED14"	"RPTOR"	"Negative Genetic"
"MED14"	"USE1"	"Negative Genetic"
"MED14"	"USMG5"	"Negative Genetic"
"MED17"	"MRPS5"	"Negative Genetic"
"MED17"	"NEMF"	"Negative Genetic"
"MED17"	"RPL35"	"Positive Genetic"
"MED17"	"TBC1D31"	"Negative Genetic"
"MED17"	"TBCB"	"Positive Genetic"
"MED22"	"MRPL50"	"Negative Genetic"
"MED22"	"RPL35"	"Negative Genetic"
"MED22"	"SGOL1"	"Positive Genetic"
"MED23"	"MED9"	"Negative Genetic"
"MED23"	"MINOS1"	"Negative Genetic"
"MED23"	"MINOS1-NBL1"	"Negative Genetic"
"MED23"	"MRPL15"	"Negative Genetic"
"MED23"	"MRPL39"	"Negative Genetic"
"MED23"	"MRPL42"	"Negative Genetic"
"MED23"	"MRPL46"	"Negative Genetic"
"MED23"	"NDUFB1"	"Negative Genetic"
"MED23"	"NDUFB2"	"Negative Genetic"
"MED23"	"NFYC"	"Negative Genetic"
"MED23"	"PNISR"	"Negative Genetic"
"MED23"	"POLD1"	"Negative Genetic"
"MED23"	"POLE"	"Negative Genetic"
"MED23"	"PPCS"	"Negative Genetic"
"MED23"	"PSMD6"	"Negative Genetic"
"MED23"	"RBBP8"	"Negative Genetic"
"MED23"	"RFC5"	"Negative Genetic"
"MED23"	"RNGTT"	"Negative Genetic"
"MED23"	"RPL23"	"Negative Genetic"
"MED23"	"RPTOR"	"Negative Genetic"
"MED23"	"SCO1"	"Negative Genetic"
"MED23"	"SLC35A1"	"Negative Genetic"
"MED23"	"TIMELESS"	"Negative Genetic"
"MED23"	"TIPIN"	"Negative Genetic"
"MED23"	"VPS29"	"Negative Genetic"
"MED24"	"MED24"	"Positive Genetic"
"MED24"	"MED9"	"Negative Genetic"
"MED24"	"MINOS1"	"Negative Genetic"
"MED24"	"MINOS1-NBL1"	"Negative Genetic"
"MED24"	"MRPL22"	"Negative Genetic"
"MED24"	"MRPL24"	"Negative Genetic"
"MED24"	"MRPL27"	"Negative Genetic"
"MED24"	"MRPL33"	"Negative Genetic"
"MED24"	"MRPL36"	"Negative Genetic"
"MED24"	"MRPL42"	"Negative Genetic"
"MED24"	"NDUFA9"	"Negative Genetic"
"MED24"	"NDUFB1"	"Negative Genetic"
"MED24"	"NDUFB2"	"Negative Genetic"
"MED24"	"GATB"	"Negative Genetic"
"MED24"	"PSMD4"	"Negative Genetic"
"MED24"	"SEH1L"	"Negative Genetic"
"MED28"	"MED28"	"Negative Genetic"
"MED28"	"NCAPD2"	"Negative Genetic"
"MED28"	"NUTF2"	"Positive Genetic"
"MED28"	"PPCS"	"Positive Genetic"
"MED28"	"PSMD1"	"Negative Genetic"
"MED28"	"SRP19"	"Positive Genetic"
"MED9"	"METAP2"	"Negative Genetic"
"MED9"	"RPA3"	"Positive Genetic"
"MED9"	"SNAPC1"	"Positive Genetic"
"MED9"	"TRA2B"	"Positive Genetic"
"MED9"	"UBA2"	"Positive Genetic"
"METAP2"	"METAP2"	"Positive Genetic"
"METAP2"	"PAXBP1"	"Negative Genetic"
"METAP2"	"PDCD7"	"Negative Genetic"
"METAP2"	"PMF1"	"Negative Genetic"
"METAP2"	"PPWD1"	"Negative Genetic"
"METAP2"	"RPL36A"	"Negative Genetic"
"METAP2"	"SCYL1"	"Negative Genetic"
"METAP2"	"SNRPC"	"Negative Genetic"
"METAP2"	"SNRPG"	"Negative Genetic"
"METAP2"	"VPS72"	"Negative Genetic"
"METAP2"	"WDR7"	"Negative Genetic"
"METAP2"	"ZMAT5"	"Negative Genetic"
"METAP2"	"ZWINT"	"Negative Genetic"
"METTL17"	"METTL17"	"Negative Genetic"
"METTL17"	"MRPL11"	"Positive Genetic"
"METTL17"	"MRPL22"	"Positive Genetic"
"METTL17"	"NDUFB2"	"Positive Genetic"
"METTL17"	"PSMC1"	"Negative Genetic"
"METTL17"	"RAE1"	"Negative Genetic"
"MFAP1"	"MRPL22"	"Negative Genetic"
"MFAP1"	"MTBP"	"Negative Genetic"
"MFAP1"	"NUP43"	"Negative Genetic"
"MFAP1"	"NUTF2"	"Negative Genetic"
"MFAP1"	"PGK1"	"Positive Genetic"
"MFAP1"	"PITRM1"	"Negative Genetic"
"MFAP1"	"PSMD1"	"Positive Genetic"
"MFAP1"	"PSMD4"	"Positive Genetic"
"MFAP1"	"SF3B1"	"Negative Genetic"
"MFAP1"	"TBC1D31"	"Negative Genetic"
"MFAP1"	"TIMELESS"	"Negative Genetic"
"MFAP1"	"TRA2B"	"Positive Genetic"
"MFAP1"	"UBA2"	"Positive Genetic"
"MFAP1"	"ZNF574"	"Negative Genetic"
"MFAP1"	"ZNF830"	"Negative Genetic"
"MINOS1"	"MINOS1"	"Negative Genetic"
"MINOS1"	"MRPL57"	"Positive Genetic"
"MINOS1"	"OPA1"	"Negative Genetic"
"MINOS1"	"PITRM1"	"Negative Genetic"
"MINOS1"	"RAE1"	"Negative Genetic"
"MINOS1"	"TIMM22"	"Positive Genetic"
"MINOS1"	"TIMM9"	"Positive Genetic"
"MINOS1"	"WDR61"	"Positive Genetic"
"MINOS1-NBL1"	"MRPL3"	"Positive Genetic"
"MINOS1-NBL1"	"MRPS14"	"Positive Genetic"
"MINOS1-NBL1"	"MTERF3"	"Positive Genetic"
"MINOS1-NBL1"	"PITRM1"	"Negative Genetic"
"MINOS1-NBL1"	"TIMM22"	"Positive Genetic"
"MINOS1-NBL1"	"TIMM9"	"Positive Genetic"
"MINOS1-NBL1"	"VPS29"	"Negative Genetic"
"MPHOSPH6"	"MPHOSPH6"	"Negative Genetic"
"MPHOSPH6"	"PAFAH1B1"	"Negative Genetic"
"MPHOSPH6"	"SKIV2L2"	"Negative Genetic"
"MPHOSPH6"	"SNAPC1"	"Positive Genetic"
"MPHOSPH6"	"XRN2"	"Negative Genetic"
"MPHOSPH6"	"ZCCHC9"	"Negative Genetic"
"MRPL57"	"MRPL27"	"Positive Genetic"
"MRPL57"	"MRPS11"	"Positive Genetic"
"MRPL57"	"MRPS5"	"Positive Genetic"
"MRPL57"	"GATB"	"Positive Genetic"
"MRPL57"	"PGK1"	"Negative Genetic"
"MRPL57"	"PSMC1"	"Negative Genetic"
"MRPL57"	"PSMD1"	"Negative Genetic"
"MRPL57"	"PSMD4"	"Negative Genetic"
"MRPL57"	"PSMD6"	"Negative Genetic"
"MRPL57"	"SKA3"	"Negative Genetic"
"MRPL57"	"TAZ"	"Negative Genetic"
"MRPL57"	"WDR61"	"Positive Genetic"
"MRPL10"	"MRPL16"	"Positive Genetic"
"MRPL10"	"MRPL22"	"Positive Genetic"
"MRPL10"	"MRPL36"	"Positive Genetic"
"MRPL10"	"MRPL42"	"Positive Genetic"
"MRPL10"	"MRPS11"	"Positive Genetic"
"MRPL10"	"MRPS14"	"Positive Genetic"
"MRPL10"	"MRPS5"	"Positive Genetic"
"MRPL10"	"GATB"	"Positive Genetic"
"MRPL10"	"PGK1"	"Negative Genetic"
"MRPL10"	"PSMD12"	"Negative Genetic"
"MRPL10"	"TAZ"	"Negative Genetic"
"MRPL10"	"WDR61"	"Positive Genetic"
"MRPL10"	"ZNF830"	"Negative Genetic"
"MRPL11"	"MRPS10"	"Positive Genetic"
"MRPL11"	"PRMT5"	"Negative Genetic"
"MRPL11"	"TOMM22"	"Positive Genetic"
"MRPL13"	"MTBP"	"Negative Genetic"
"MRPL13"	"MTOR"	"Negative Genetic"
"MRPL13"	"PPP2R1A"	"Negative Genetic"
"MRPL13"	"WDR61"	"Positive Genetic"
"MRPL15"	"PPP2R1A"	"Negative Genetic"
"MRPL15"	"PSMD4"	"Negative Genetic"
"MRPL16"	"PSMD1"	"Negative Genetic"
"MRPL16"	"TAZ"	"Negative Genetic"
"MRPL18"	"MRPL18"	"Positive Genetic"
"MRPL18"	"TAF2"	"Positive Genetic"
"MRPL19"	"MRPS5"	"Positive Genetic"
"MRPL19"	"MTOR"	"Negative Genetic"
"MRPL19"	"GATB"	"Positive Genetic"
"MRPL19"	"PGD"	"Negative Genetic"
"MRPL19"	"PMF1"	"Negative Genetic"
"MRPL22"	"MRPL22"	"Positive Genetic"
"MRPL22"	"MRPL36"	"Positive Genetic"
"MRPL22"	"MRPS11"	"Positive Genetic"
"MRPL22"	"MRPS16"	"Positive Genetic"
"MRPL22"	"NDUFB1"	"Positive Genetic"
"MRPL22"	"NIP7"	"Positive Genetic"
"MRPL22"	"PDCD7"	"Negative Genetic"
"MRPL22"	"PGD"	"Negative Genetic"
"MRPL22"	"PGK1"	"Negative Genetic"
"MRPL22"	"PMPCB"	"Negative Genetic"
"MRPL22"	"POLN"	"Negative Genetic"
"MRPL22"	"PSMB7"	"Negative Genetic"
"MRPL22"	"PSMC1"	"Negative Genetic"
"MRPL22"	"PSMD1"	"Positive Genetic"
"MRPL22"	"PSMD12"	"Negative Genetic"
"MRPL22"	"PSMD4"	"Negative Genetic"
"MRPL22"	"PSMD6"	"Negative Genetic"
"MRPL22"	"PTTG1"	"Negative Genetic"
"MRPL22"	"RNGTT"	"Negative Genetic"
"MRPL22"	"RPL10"	"Negative Genetic"
"MRPL22"	"RPL27"	"Negative Genetic"
"MRPL22"	"RPL5"	"Negative Genetic"
"MRPL22"	"SEC22B"	"Negative Genetic"
"MRPL22"	"SEH1L"	"Negative Genetic"
"MRPL22"	"SNAPC1"	"Negative Genetic"
"MRPL22"	"SRP19"	"Negative Genetic"
"MRPL22"	"SYVN1"	"Negative Genetic"
"MRPL22"	"TAZ"	"Negative Genetic"
"MRPL22"	"WDR61"	"Positive Genetic"
"MRPL24"	"MRPS5"	"Positive Genetic"
"MRPL27"	"MRPS5"	"Positive Genetic"
"MRPL27"	"PSMB6"	"Negative Genetic"
"MRPL27"	"TAF2"	"Negative Genetic"
"MRPL27"	"TIMELESS"	"Negative Genetic"
"MRPL32"	"MRPS5"	"Positive Genetic"
"MRPL32"	"TBCB"	"Positive Genetic"
"MRPL32"	"TIMELESS"	"Negative Genetic"
"MRPL32"	"TUBB"	"Negative Genetic"
"MRPL33"	"MRPS5"	"Negative Genetic"
"MRPL33"	"PGK1"	"Negative Genetic"
"MRPL33"	"PSMB6"	"Negative Genetic"
"MRPL33"	"WDR61"	"Positive Genetic"
"MRPL36"	"MRPL42"	"Positive Genetic"
"MRPL36"	"MRPS21"	"Positive Genetic"
"MRPL36"	"MRPS35"	"Positive Genetic"
"MRPL36"	"MRPS5"	"Positive Genetic"
"MRPL36"	"GATB"	"Positive Genetic"
"MRPL36"	"TAZ"	"Negative Genetic"
"MRPL36"	"TIMELESS"	"Negative Genetic"
"MRPL36"	"WDR61"	"Positive Genetic"
"MRPL37"	"MRPS21"	"Positive Genetic"
"MRPL37"	"MRPS28"	"Positive Genetic"
"MRPL37"	"MRPS5"	"Positive Genetic"
"MRPL37"	"GATB"	"Positive Genetic"
"MRPL37"	"PGK1"	"Negative Genetic"
"MRPL39"	"MRPS5"	"Positive Genetic"
"MRPL39"	"GATB"	"Positive Genetic"
"MRPL39"	"WDR61"	"Positive Genetic"
"MRPL42"	"MRPL42"	"Positive Genetic"
"MRPL42"	"MRPS5"	"Positive Genetic"
"MRPL42"	"PGK1"	"Negative Genetic"
"MRPL42"	"ROMO1"	"Negative Genetic"
"MRPL42"	"SRSF7"	"Negative Genetic"
"MRPL43"	"MRPS11"	"Positive Genetic"
"MRPL43"	"MRPS23"	"Positive Genetic"
"MRPL43"	"PMF1"	"Negative Genetic"
"MRPL43"	"PSMD4"	"Negative Genetic"
"MRPL43"	"TAZ"	"Negative Genetic"
"MRPL46"	"MRPL46"	"Negative Genetic"
"MRPL46"	"PSMD1"	"Negative Genetic"
"MRPL46"	"PSMD12"	"Positive Genetic"
"MRPL46"	"WDR61"	"Positive Genetic"
"MRPL50"	"MRPL50"	"Negative Genetic"
"MRPL50"	"PHF5A"	"Positive Genetic"
"MRPL50"	"TIMELESS"	"Negative Genetic"
"MRPS10"	"MRPS14"	"Positive Genetic"
"MRPS10"	"ROMO1"	"Negative Genetic"
"MRPS11"	"MRPS23"	"Positive Genetic"
"MRPS11"	"MRPS5"	"Positive Genetic"
"MRPS11"	"GATB"	"Positive Genetic"
"MRPS11"	"PGD"	"Negative Genetic"
"MRPS11"	"PGK1"	"Negative Genetic"
"MRPS11"	"PSMB6"	"Negative Genetic"
"MRPS11"	"PSMC6"	"Negative Genetic"
"MRPS11"	"TAF2"	"Negative Genetic"
"MRPS11"	"WDR61"	"Positive Genetic"
"MRPS14"	"MRPS28"	"Positive Genetic"
"MRPS14"	"MRPS5"	"Positive Genetic"
"MRPS14"	"MRPS9"	"Positive Genetic"
"MRPS14"	"NCAPD2"	"Positive Genetic"
"MRPS14"	"TAZ"	"Negative Genetic"
"MRPS16"	"PITRM1"	"Negative Genetic"
"MRPS16"	"ZNF830"	"Negative Genetic"
"MRPS18A"	"MRPS5"	"Positive Genetic"
"MRPS18A"	"WDR61"	"Positive Genetic"
"MRPS18B"	"MRPS18B"	"Negative Genetic"
"MRPS21"	"MRPS5"	"Positive Genetic"
"MRPS21"	"GATB"	"Positive Genetic"
"MRPS21"	"PGK1"	"Negative Genetic"
"MRPS21"	"PSMC1"	"Negative Genetic"
"MRPS21"	"WDR61"	"Positive Genetic"
"MRPS23"	"MRPS5"	"Positive Genetic"
"MRPS23"	"WDR61"	"Positive Genetic"
"MRPS25"	"GATB"	"Positive Genetic"
"MRPS25"	"PSMD1"	"Negative Genetic"
"MRPS28"	"GATB"	"Positive Genetic"
"MRPS28"	"SNRPG"	"Negative Genetic"
"MRPS30"	"MRPS30"	"Negative Genetic"
"MRPS30"	"PGK1"	"Negative Genetic"
"MRPS30"	"SNAPC1"	"Positive Genetic"
"MRPS30"	"WDR61"	"Positive Genetic"
"MRPS35"	"MRPS5"	"Positive Genetic"
"MRPS35"	"PGD"	"Negative Genetic"
"MRPS5"	"MTOR"	"Negative Genetic"
"MRPS5"	"GATB"	"Positive Genetic"
"MRPS5"	"PITRM1"	"Negative Genetic"
"MRPS5"	"PPP2R1A"	"Negative Genetic"
"MRPS5"	"PSMC1"	"Negative Genetic"
"MRPS5"	"PSMD1"	"Negative Genetic"
"MRPS5"	"PSMD12"	"Negative Genetic"
"MRPS5"	"PTCD1"	"Positive Genetic"
"MRPS5"	"SNRPG"	"Negative Genetic"
"MRPS5"	"TAF2"	"Negative Genetic"
"MRPS5"	"TAZ"	"Negative Genetic"
"MRPS5"	"VPS29"	"Negative Genetic"
"MRPS5"	"WDR61"	"Positive Genetic"
"MRPS5"	"ZNF598"	"Negative Genetic"
"MRPS9"	"WDR61"	"Positive Genetic"
"MTBP"	"MTBP"	"Positive Genetic"
"MTBP"	"NDUFB1"	"Negative Genetic"
"MTBP"	"PWP1"	"Negative Genetic"
"MTBP"	"ROMO1"	"Negative Genetic"
"MTBP"	"RPL35"	"Negative Genetic"
"MTBP"	"RRM1"	"Negative Genetic"
"MTBP"	"RTF1"	"Positive Genetic"
"MTBP"	"XRN2"	"Negative Genetic"
"MTHFD2"	"RAE1"	"Negative Genetic"
"MTOR"	"MTOR"	"Negative Genetic"
"MTOR"	"NDUFA8"	"Negative Genetic"
"MTOR"	"NDUFA9"	"Negative Genetic"
"MTOR"	"NDUFB2"	"Negative Genetic"
"MTOR"	"SNAPC1"	"Positive Genetic"
"MTOR"	"SSB"	"Negative Genetic"
"MTOR"	"TMEM261"	"Negative Genetic"
"MTPAP"	"PGK1"	"Negative Genetic"
"MTPAP"	"WDR61"	"Positive Genetic"
"MZT1"	"NDUFB1"	"Negative Genetic"
"MZT1"	"PAFAH1B1"	"Negative Genetic"
"MZT1"	"PPP2R1A"	"Negative Genetic"
"MZT1"	"PRPF18"	"Positive Genetic"
"MZT1"	"REXO2"	"Positive Genetic"
"MZT1"	"SMC5"	"Positive Genetic"
"MZT1"	"SSB"	"Negative Genetic"
"MZT1"	"TBCB"	"Positive Genetic"
"MZT1"	"UBA2"	"Positive Genetic"
"MZT1"	"VPS72"	"Negative Genetic"
"MZT1"	"WDR7"	"Positive Genetic"
"NAA25"	"NAA25"	"Negative Genetic"
"NAA25"	"NDUFA2"	"Positive Genetic"
"NAA25"	"SNAPC1"	"Positive Genetic"
"NAA25"	"TAF2"	"Negative Genetic"
"NAA50"	"NUBP1"	"Negative Genetic"
"NAA50"	"SGOL1"	"Negative Genetic"
"NAA50"	"SKA3"	"Negative Genetic"
"NAA50"	"TIMELESS"	"Negative Genetic"
"NAA50"	"TIPIN"	"Negative Genetic"
"NACA"	"RPL24"	"Positive Genetic"
"NACA"	"ZNHIT6"	"Positive Genetic"
"NAMPT"	"NAMPT"	"Negative Genetic"
"NAMPT"	"SNAPC1"	"Positive Genetic"
"NAT10"	"NAT10"	"Negative Genetic"
"NAT10"	"ZNF574"	"Positive Genetic"
"NCAPD2"	"NSMCE1"	"Negative Genetic"
"NCAPD2"	"NSMCE1"	"Positive Genetic"
"NCAPD2"	"PPP2R1A"	"Positive Genetic"
"NCAPD2"	"PTTG1"	"Negative Genetic"
"NCAPD2"	"USE1"	"Negative Genetic"
"NCAPD2"	"XRN2"	"Positive Genetic"
"NCBP1"	"NCBP1"	"Negative Genetic"
"NCBP1"	"NUDC"	"Negative Genetic"
"NCBP1"	"SDHC"	"Positive Genetic"
"NCBP1"	"SNAPC1"	"Positive Genetic"
"NCBP1"	"XRN2"	"Negative Genetic"
"NCBP1"	"ZNF574"	"Negative Genetic"
"NDUFA2"	"NDUFA2"	"Positive Genetic"
"NDUFA2"	"PSMD6"	"Positive Genetic"
"NDUFA2"	"UBA2"	"Positive Genetic"
"NDUFA2"	"WDR61"	"Negative Genetic"
"NDUFA2"	"YTHDC1"	"Positive Genetic"
"NDUFA8"	"NDUFA9"	"Positive Genetic"
"NDUFA8"	"NDUFB1"	"Positive Genetic"
"NDUFA8"	"NDUFB2"	"Positive Genetic"
"NDUFA8"	"PGK1"	"Negative Genetic"
"NDUFA8"	"PSMC1"	"Negative Genetic"
"NDUFA8"	"PSMC6"	"Negative Genetic"
"NDUFA8"	"PSMD1"	"Negative Genetic"
"NDUFA8"	"PSMD6"	"Negative Genetic"
"NDUFA8"	"RPTOR"	"Negative Genetic"
"NDUFA8"	"SDHC"	"Positive Genetic"
"NDUFA8"	"TMEM261"	"Positive Genetic"
"NDUFA8"	"UQCRB"	"Positive Genetic"
"NDUFA9"	"NDUFB1"	"Positive Genetic"
"NDUFA9"	"NDUFB2"	"Positive Genetic"
"NDUFA9"	"NUBP1"	"Negative Genetic"
"NDUFA9"	"PGK1"	"Negative Genetic"
"NDUFA9"	"SDHC"	"Positive Genetic"
"NDUFA9"	"UQCRB"	"Positive Genetic"
"NDUFA9"	"WDR61"	"Negative Genetic"
"NDUFA9"	"XPO1"	"Negative Genetic"
"NDUFB1"	"NDUFB2"	"Positive Genetic"
"NDUFB1"	"NDUFB4"	"Positive Genetic"
"NDUFB1"	"PGK1"	"Negative Genetic"
"NDUFB1"	"PPP2R1A"	"Negative Genetic"
"NDUFB1"	"PSMD12"	"Negative Genetic"
"NDUFB1"	"PSMD4"	"Negative Genetic"
"NDUFB1"	"RPL23"	"Negative Genetic"
"NDUFB1"	"SDHC"	"Positive Genetic"
"NDUFB1"	"TAZ"	"Negative Genetic"
"NDUFB1"	"UQCRB"	"Positive Genetic"
"NDUFB1"	"WDR61"	"Negative Genetic"
"NDUFB2"	"NUP54"	"Negative Genetic"
"NDUFB2"	"PGK1"	"Negative Genetic"
"NDUFB2"	"PSMC6"	"Negative Genetic"
"NDUFB2"	"PSMD4"	"Negative Genetic"
"NDUFB2"	"RTF1"	"Positive Genetic"
"NDUFB2"	"SDHC"	"Positive Genetic"
"NDUFB2"	"UQCRB"	"Positive Genetic"
"NDUFB4"	"SDHC"	"Positive Genetic"
"NDUFB4"	"UQCRB"	"Positive Genetic"
"NEMF"	"PAFAH1B1"	"Negative Genetic"
"NEMF"	"PSMD1"	"Positive Genetic"
"NEMF"	"PSMD4"	"Negative Genetic"
"NEMF"	"RAE1"	"Negative Genetic"
"NEMF"	"RPL23"	"Positive Genetic"
"NEMF"	"RPL30"	"Negative Genetic"
"NEMF"	"SNRPG"	"Negative Genetic"
"NFYC"	"NFYC"	"Negative Genetic"
"NFYC"	"NUP54"	"Negative Genetic"
"NFYC"	"PMF1"	"Negative Genetic"
"NFYC"	"PTTG1"	"Negative Genetic"
"NFYC"	"SNAPC1"	"Positive Genetic"
"NFYC"	"SNRPG"	"Positive Genetic"
"NFYC"	"TUBB"	"Negative Genetic"
"NFYC"	"WDR61"	"Negative Genetic"
"NFYC"	"YTHDC1"	"Positive Genetic"
"NFYC"	"ZNF830"	"Negative Genetic"
"NIP7"	"RPL35"	"Positive Genetic"
"NIP7"	"TUBB"	"Negative Genetic"
"NIP7"	"VPS29"	"Positive Genetic"
"NIP7"	"ZNF598"	"Positive Genetic"
"NOC2L"	"PTTG1"	"Negative Genetic"
"NOC2L"	"SNAPC1"	"Positive Genetic"
"NOL10"	"NOL10"	"Negative Genetic"
"NOL8"	"RPL23"	"Positive Genetic"
"NOL8"	"RPL35"	"Positive Genetic"
"NOL8"	"VPS72"	"Negative Genetic"
"NOL9"	"NOL9"	"Negative Genetic"
"NOL9"	"SNAPC1"	"Positive Genetic"
"NOL9"	"XRN2"	"Negative Genetic"
"NOLC1"	"TCOF1"	"Negative Genetic"
"NOLC1"	"XRN2"	"Negative Genetic"
"NOLC1"	"ZNHIT6"	"Negative Genetic"
"NOP58"	"NOP58"	"Negative Genetic"
"NOP58"	"UBA2"	"Negative Genetic"
"NOP58"	"ZNHIT6"	"Negative Genetic"
"NSMCE1"	"PTTG1"	"Negative Genetic"
"NSMCE1"	"TTC4"	"Positive Genetic"
"NSMCE1"	"UBA2"	"Negative Genetic"
"NSMCE1"	"VPS4A"	"Negative Genetic"
"NSMCE1"	"ZNHIT6"	"Positive Genetic"
"NSMCE4A"	"NSMCE4A"	"Negative Genetic"
"NUBP1"	"NUBP1"	"Negative Genetic"
"NUBP1"	"ORAOV1"	"Negative Genetic"
"NUBP1"	"POLE"	"Negative Genetic"
"NUBP1"	"POLR3B"	"Positive Genetic"
"NUBP1"	"PPAT"	"Negative Genetic"
"NUBP1"	"TAF2"	"Negative Genetic"
"NUBP1"	"TIMELESS"	"Negative Genetic"
"NUBP1"	"UBA2"	"Negative Genetic"
"NUDC"	"NUP43"	"Negative Genetic"
"NUDC"	"OPA1"	"Positive Genetic"
"NUDC"	"PGD"	"Positive Genetic"
"NUDC"	"POLR2K"	"Negative Genetic"
"NUDC"	"PSMB6"	"Positive Genetic"
"NUDC"	"SCYL1"	"Negative Genetic"
"NUDC"	"SLC35A1"	"Negative Genetic"
"NUDC"	"SLC39A9"	"Negative Genetic"
"NUDC"	"TAZ"	"Positive Genetic"
"NUDC"	"USMG5"	"Positive Genetic"
"NUDC"	"WDR61"	"Negative Genetic"
"NUDC"	"WDR7"	"Negative Genetic"
"NUDC"	"XRN2"	"Positive Genetic"
"NUDC"	"YTHDC1"	"Positive Genetic"
"NUP43"	"NUP43"	"Negative Genetic"
"NUP43"	"NUP54"	"Negative Genetic"
"NUP43"	"NUP85"	"Negative Genetic"
"NUP43"	"PELO"	"Negative Genetic"
"NUP43"	"PPP2R1A"	"Negative Genetic"
"NUP43"	"RAD51"	"Negative Genetic"
"NUP43"	"RTF1"	"Negative Genetic"
"NUP43"	"SEH1L"	"Negative Genetic"
"NUP43"	"SGOL1"	"Negative Genetic"
"NUP43"	"SRSF7"	"Negative Genetic"
"NUP43"	"TIMELESS"	"Negative Genetic"
"NUP43"	"TRA2B"	"Negative Genetic"
"NUP43"	"WDR61"	"Negative Genetic"
"NUP43"	"YTHDC1"	"Negative Genetic"
"NUP54"	"NUP54"	"Negative Genetic"
"NUP54"	"PELO"	"Negative Genetic"
"NUP54"	"RAE1"	"Negative Genetic"
"NUP54"	"RNGTT"	"Negative Genetic"
"NUP54"	"SGOL1"	"Negative Genetic"
"NUP54"	"SNAPC1"	"Positive Genetic"
"NUP54"	"TIMELESS"	"Negative Genetic"
"NUP54"	"TMEM261"	"Negative Genetic"
"NUP54"	"VPS29"	"Negative Genetic"
"NUP54"	"WDR61"	"Negative Genetic"
"NUP85"	"NUP85"	"Negative Genetic"
"NUP85"	"PELO"	"Negative Genetic"
"NUP85"	"PPP2R1A"	"Negative Genetic"
"NUP85"	"TRA2B"	"Negative Genetic"
"NUP85"	"YTHDC1"	"Negative Genetic"
"NUTF2"	"PGK1"	"Negative Genetic"
"NUTF2"	"RPL13"	"Positive Genetic"
"NUTF2"	"RPL35"	"Positive Genetic"
"NUTF2"	"SLC35A1"	"Positive Genetic"
"NUTF2"	"TAF2"	"Negative Genetic"
"NUTF2"	"TGIF2"	"Positive Genetic"
"NUTF2"	"TRA2B"	"Negative Genetic"
"NUTF2"	"ZNF574"	"Negative Genetic"
"NUTF2"	"ZNF598"	"Negative Genetic"
"OGFOD1"	"RPL10"	"Negative Genetic"
"OGFOD1"	"TAF2"	"Positive Genetic"
"OGFOD1"	"TCOF1"	"Negative Genetic"
"OGFOD1"	"TUBGCP3"	"Positive Genetic"
"OGFOD1"	"UBA2"	"Positive Genetic"
"OGFOD1"	"WDR61"	"Negative Genetic"
"OPA1"	"PHF5A"	"Positive Genetic"
"OPA1"	"PITRM1"	"Negative Genetic"
"OPA1"	"PPCS"	"Positive Genetic"
"OPA1"	"ROMO1"	"Negative Genetic"
"OPA1"	"TAZ"	"Negative Genetic"
"OPA1"	"TIMM22"	"Negative Genetic"
"OPA1"	"TIMM23B"	"Negative Genetic"
"OPA1"	"TMEM261"	"Negative Genetic"
"OPA1"	"WDR61"	"Positive Genetic"
"OPA1"	"XRN2"	"Positive Genetic"
"ORAOV1"	"ORAOV1"	"Negative Genetic"
"ORAOV1"	"RPL36A"	"Negative Genetic"
"ORAOV1"	"SNAPC1"	"Positive Genetic"
"ORAOV1"	"WDR61"	"Negative Genetic"
"PAFAH1B1"	"PAFAH1B1"	"Negative Genetic"
"PAFAH1B1"	"PPP2R1A"	"Negative Genetic"
"PAFAH1B1"	"PSMD12"	"Positive Genetic"
"PAFAH1B1"	"RPL28"	"Negative Genetic"
"PAFAH1B1"	"RPL36A"	"Negative Genetic"
"PAFAH1B1"	"SDHC"	"Negative Genetic"
"PAFAH1B1"	"SGOL1"	"Negative Genetic"
"PAFAH1B1"	"SKA3"	"Negative Genetic"
"PAFAH1B1"	"SNRPG"	"Positive Genetic"
"PAFAH1B1"	"TCOF1"	"Negative Genetic"
"PAFAH1B1"	"UBA2"	"Positive Genetic"
"PAFAH1B1"	"VPS72"	"Negative Genetic"
